Person,Height,Weight ,Biceps ,Forearm_Circumference,Hand_Length,Hand_Breadth,Hand_Circumference,Grip_Strength,Elbow_to_Fingertip
1,73,180,12,11,7.25,3.25,8.125,45.8,18.25
2,71,170,13,12,7,3.125,8,47.4,19
3,70,150,13.125,11.5,7,3.5,8,42.9,18.125
4,70,135,11,10,7,3.25,7.5,30.5,18
5,75,180,14.5,11.75,8,3.375,8,56,19
6,70,228,16.75,13.5,7,3.5,9,61.4,18.125
7,73,175,13,12,7.25,3.125,8,48.4,18.5
8,69,150,12.5,11,7,3.125,8,44.5,18
9,71,165,13.75,11.75,7.25,3.5,7.75,44.9,18.5
10,71,160,12,11.125,7,3.25,8.25,40.9,18
11,73,172,12,10.875,7,3.6,8.25,45.9,18
12,77,180,12,11,8.25,4,9,51.1,20
13,75,200,13.5,11.25,7.5,3.5,8.25,42.5,19
14,75,225,13.5,12,7.375,3.25,8,57.9,19
15,70,165,13.5,10.5,6.75,3.25,7.875,43.5,18
16,71,145,12,10.5,7.5,3.125,8,50.6,18
17,72,170,14,11,7,4,9,63,19
18,69,151,12,10.25,6.75,3,7.75,47.4,17.25
19,70,145,12,10.25,7,3.25,8,39.8,17.375
20,69,150,12.125,10.5,6.75,3.25,7.75,41,17.75
